category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Pop,5kLqfA1DOMFkOQrD4KCmnV,5,0.559,0.126,7,-12.918,0.0352,0.974,0.0375,0.128,0.234,58.122
Pop,5rzO4nvz6ZzgfUZ5q9laT9,42,0.668,0.619,0,-3.973,0.0809,0.608,0,0.153,0.678,108.652
Pop,3Wkglb2n6Eb3CiHFFshjhK,20,0.63,0.669,6,-7.591,0.0392,0.331,0.00175,0.117,0.56,102.791
Pop,4RJ6ZuWUlOSkBI8mOQkGR0,6,0.577,0.82,0,-5.491,0.0365,0.181,9.00E-06,0.165,0.75,141.61
Pop,1qRhvlCXiB8JsNM6uP27Km,33,0.589,0.694,10,-4.39,0.0258,0.292,0,0.0471,0.815,175.987
Pop,6RPb92J2rlqC1DK7BWIgpF,37,0.563,0.311,0,-9.18,0.0317,0.767,1.00E-06,0.11,0.205,132.199
Pop,191w0Z04ktB8QjlRLSqmNq,47,0.679,0.422,8,-10.088,0.032,0.0965,0.0369,0.059,0.503,90.022
Pop,5aJiAeG0x2dxYeE7ac2xhl,61,0.594,0.896,0,-4.114,0.0409,0.0282,1.50E-05,0.185,0.828,105.01
Pop,2VjtYe7gpfUi2OkGxR2O2z,92,0.767,0.671,9,-6.416,0.142,0.21,1.10E-05,0.129,0.474,128.072
Pop,1XGmzt0PVuFgQYYnV2It7A,76,0.741,0.742,4,-4.774,0.0395,0.0169,0,0.293,0.507,110.018
Pop,6Gw2dHX6FsQcIuiWxe0vWk,23,0.652,0.951,9,-3.083,0.0556,0.0074,0.133,0.0617,0.37,128.061
Pop,7iDa6hUg2VgEL1o1HjmfBn,89,0.643,0.783,10,-6.458,0.0856,0.047,0,0.083,0.566,154.084
Pop,0Of5so0SmxQprfv96NkXhb,58,0.573,0.786,7,-4.354,0.0353,0.0625,0.211,0.117,0.628,110.289
Pop,6FE2iI43OZnszFLuLtvvmg,76,0.72,0.791,1,-4.689,0.124,0.0384,0,0.157,0.767,102.071
Pop,6MmcXmpXBeqY640DLNHPKW,57,0.65,0.85,8,-3.84,0.26,0.023,0,0.157,0.562,124.983
Pop,1DfqZ0CTKNg5Pb7mxwTYH8,56,0.822,0.798,0,-4.477,0.0554,0.0851,8.40E-05,0.579,0.923,117.983
Pop,48RrDBpOSSl1aLVCalGl5C,73,0.786,0.857,9,-3.765,0.0734,0.0514,0,0.112,0.602,110.038
