,songid,song_title,artist_name,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,category
3226,11HLyzoCyx8hXKXVmrg1Sy,Wishful Thinking,China Crisis,52,0.67,0.512,7,-14.62,0.0335,7.900000000000001e-05,0.0985,0.105,0.965,125.18,4,Pop
3227,432fRHq6vKAP11oUDYDPiY,Sober,P!nk,60,0.604,0.7909999999999999,6,-4.887,0.0305,0.0738,0.0,0.21100000000000002,0.402,90.939,4,Pop
3229,7zOoHxDt1duHL8czY7o7ab,Dear Hate,Maren Morris,72,0.526,0.41200000000000003,9,-9.292,0.0385,0.804,0.0,0.11699999999999999,0.289,79.732,4,Pop
3230,2BZjcbZpQyyhpVr3gMGPn6,Wish You Were Here,Lee Fields & The Expressions,52,0.368,0.516,4,-6.058,0.0348,0.11,1e-05,0.0955,0.436,178.889,3,Pop
3231,7zgveKrOxukG95vxIO3KHd,Trebles Finals: Bright Lights Bigger City/Magic,Various Artists,53,0.691,0.525,9,-7.185,0.217,0.222,0.0,0.18600000000000003,0.413,112.63600000000001,4,Pop
3232,3BgvCj5oUc8jpL8YCB9y8S,Pray,Sam Smith,80,0.46299999999999997,0.38799999999999996,7,-9.367,0.0437,0.282,3e-06,0.0866,0.166,77.415,5,Pop
3233,5nK4zzGtYgKqLKvbnaB0H9,Young Dumb & Broke,Isabella Celander,48,0.8059999999999999,0.205,7,-12.253,0.0451,0.92,0.0,0.113,0.42,118.02600000000001,4,Pop
3234,4esmMZzUcSw6cgd8WbSOgi,Cold Water,Megan Davies,64,0.509,0.257,6,-13.962,0.10800000000000001,0.733,0.0,0.312,0.56,187.36599999999999,4,Pop
3235,16GHcGtW9Io7AuVdNmTjv3,Live Your Life - feat. Rihanna,T.I.,44,0.375,0.862,11,-3.363,0.255,0.071,0.0,0.21100000000000002,0.47200000000000003,159.841,4,Pop
3236,4iLqG9SeJSnt0cSPICSjxv,Attention,Charlie Puth,97,0.774,0.626,3,-4.4319999999999995,0.0432,0.0969,3.1e-05,0.0848,0.758,100.041,4,Pop
3239,7pAq1IXYZpL42HchCminu6,Dont Hold Your Breath,Nicole Scherzinger,58,0.6629999999999999,0.778,5,-6.027,0.0274,0.00993,7.6e-05,0.244,0.617,110.977,4,Pop
