category,songid,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Romance,6ERQqdIkr7Rp4tt52Eep6r,11,0.585,0.266,10,-14.692,0.0271,0.649,0.00554,0.0903,0.36700000000000005,93.009,4
Romance,3V5I90jseccXcK4MGC1gqr,51,0.568,0.282,10,-10.225,0.0313,0.158,0.0025800000000000003,0.182,0.106,112.708,3
Romance,6JT7dAi39HaZ2m1REFtc1t,47,0.498,0.387,1,-6.085,0.0644,0.5660000000000001,0.0,0.289,0.153,137.952,4
Romance,5BqVeufpk3KpM4JfpRbXlO,1,0.47600000000000003,0.67,6,-6.162999999999999,0.0387,0.349,0.000152,0.139,0.359,75.57,4
Romance,06EMBzxDm2hueehobAlMtm,61,0.38799999999999996,0.32299999999999995,5,-7.1579999999999995,0.0348,0.851,2e-06,0.14300000000000002,0.226,118.885,4
Romance,08t7R5wVPqGfuSYihdHh2E,48,0.6779999999999999,0.361,2,-11.507,0.0397,0.528,8.4e-05,0.113,0.647,80.781,1
Romance,5V3cwxCMYUHCf8dtWgbw7e,52,0.677,0.777,0,-4.065,0.13,0.0552,0.0,0.29600000000000004,0.708,151.035,4
Romance,3SfbB0Y3saMIQnNctxMVhj,66,0.45399999999999996,0.344,5,-6.002000000000001,0.0316,0.9009999999999999,0.0,0.129,0.198,133.329,4
Romance,7cCf8vPXJw4e7e2CQYyYgi,69,0.556,0.513,3,-7.2010000000000005,0.028999999999999998,0.47600000000000003,0.0,0.237,0.675,133.803,4
Romance,5KOHYILlTrP4KXjIvLMEBu,38,0.475,0.674,0,-6.541,0.0933,0.34600000000000003,0.000363,0.14800000000000002,0.294,109.137,4
Romance,7feNblkR0A56vttsAGTyzK,68,0.731,0.675,11,-5.428,0.0397,0.6679999999999999,0.0,0.16,0.731,120.963,4
Romance,0L5sYIDHdhnwtJE0xB0JKV,65,0.619,0.484,7,-9.579,0.0349,0.72,0.00022799999999999999,0.667,0.56,132.219,4
Romance,1HbcclMpw0q2WDWpdGCKdS,78,0.53,0.34600000000000003,8,-10.497,0.0376,0.6970000000000001,1.1e-05,0.105,0.36200000000000004,121.876,4
Romance,1eUMjPofs5R6PotojRzniV,42,0.345,0.0085,11,-25.381999999999998,0.049,0.985,0.857,0.087,0.0472,129.6,3
Romance,3z44VMUFtXkJ54xIbd2Qb2,47,0.5529999999999999,0.442,11,-5.385,0.0332,0.564,0.0,0.37,0.254,141.546,3
Romance,0pi49lNsPqbQJ814gCrxGt,13,0.423,0.397,4,-11.472000000000001,0.0321,0.755,2e-06,0.17800000000000002,0.314,82.764,4
Romance,70ohdyuQi8QqQ7JIE1JFbX,46,0.6990000000000001,0.636,10,-4.4830000000000005,0.0307,0.7170000000000001,0.0,0.331,0.397,123.014,4
Romance,4JNW0C7VJD3yNIDp7HPOSV,15,0.674,0.518,6,-4.485,0.0323,0.8170000000000001,0.0,0.136,0.402,131.874,4
Romance,0YUiI4zdalScQmDUahywEg,67,0.612,0.409,6,-9.85,0.0362,0.418,1e-06,0.149,0.235,73.943,4
