"","songid","category.x","popularity.x","danceability.x","energy.x","key.x","loudness.x","speechiness.x","acousticness.x","instrumentalness.x","liveness.x","valence.x","tempo.x","X","song_title","artist_name","popularity.y","danceability.y","energy.y","key.y","loudness.y","speechiness.y","acousticness.y","instrumentalness.y","liveness.y","valence.y","tempo.y","category.y"
"2404","6fGZkqYqA07nGG6x38jhNW","Electronic/Dance",45,"0.574",0.976,1,-3.317,0.0528,0.00087,3e-05,0.465,0.395,127.99,5052,"Bounce","Kura",44,0.574,0.976,1,-3.317,0.0528,0.00087,3e-05,0.465,0.395,127.99,"Electronic/Dance"
"2405","6fH6DSBvPnAu3T1cT8LaVE","Hip-Hop",75,"0.831",0.65,8,-7.145,0.121,0.377,0,0.159,0.273,136.94,5127,"Je pense à toi","Hornet La Frappe",74,0.831,0.65,8,-7.145,0.121,0.377,0,0.159,0.273,136.94,"Hip-Hop"
"2406","6FI3RJ58Ztl0X1VtA6pVs9","Hip-Hop",57,"0.866",0.698,10,-7.976,0.272,0.0327,0.0187,0.108,0.703,94.64,5828,"Oh My God","A Tribe Called Quest",57,0.866,0.698,10,-7.976,0.272,0.0327,0.0187,0.108,0.703,94.64,"Hip-Hop"
"2407","6fI7m8uBO8g6m1aaZCayDm","Rock",43,"0.444",0.742,11,-6.625,0.0302,0.000144,0.421,0.125,0.429,89.423,7709,"Rotten Pumpkin","Slothrust",43,0.444,0.742,11,-6.625,0.0302,0.000144,0.421,0.125,0.429,89.423,"Rock"
"2408","6fI8yg8sko71sjsDAIjo3b","Hip-Hop",54,"0.463",0.636,1,-9.541,0.598,0.304,0,0.109,0.274,76.752,5981,"Cant Take It (Ima Gangsta) (feat. Bobby Luv)","Mozzy",54,0.463,0.636,1,-9.541,0.598,0.304,0,0.109,0.274,76.752,"Hip-Hop"
"2409","6fJaPskb02TVgdHwevkivQ","Hip-Hop",50,"0.702",0.639,1,-6.472,0.265,0.218,0,0.182,0.471,120.902,6011,"Impossible","Lucien Parker",50,0.702,0.639,1,-6.472,0.265,0.218,0,0.182,0.471,120.902,"Hip-Hop"
"2410","6fJXQTwS1TlJZZV5zqBI3f","Hip-Hop",42,"0.607",0.579,2,-9.51,0.0425,0.0371,0.868,0.707,0.579,88.986,5770,"Solo Déjate Llevar","Wk",42,0.607,0.579,2,-9.51,0.0425,0.0371,0.868,0.707,0.579,88.986,"Hip-Hop"
"2411","6FPr7b2IQpmUtafljoISjK","Hip-Hop",13,"0.71",0.489,4,-10.224,0.178,0.376,0,0.0981,0.0767,130.057,5381,"Loin","Still Fresh",49,0.71,0.489,4,-10.224,0.178,0.376,0,0.0981,0.0767,130.057,"Hip-Hop"
"2412","6frcvSEB60CCCJlpB5xvXH","Electronic/Dance",53,"0.485",0.805,10,-3.283,0.0486,0.106,0.000135,0.277,0.289,150.062,4734,"Fired Up (Ft. The Kemist) - Radio Mix","LNY TNZ",54,0.485,0.805,10,-3.283,0.0486,0.106,0.000135,0.277,0.289,150.062,"Electronic/Dance"
"2413","6fTdcGsjxlAD9PSkoPaLMX","Hip-Hop",76,"0.511",0.596,0,-6.56,0.224,0.53,0,0.0798,0.562,158.063,5550,"Sunday Candy","Donnie Trumpet & The Social Experiment",75,0.511,0.596,0,-6.56,0.224,0.53,0,0.0798,0.562,158.063,"Hip-Hop"
